Feature,Importance
ClaimAmount,0.9625821954273538
Margin,0.03589772602188428
AnnualIncome,0.00017460603573375043
CustomerID_AC-109607,0.00014300680153280608
CustomValueEstimate,0.00012618438411326178
RiskScore,0.00012023951415974782
AnnualPremium,0.00011492524465830291
TotalPremium,0.00010732220786616688
LossRatio,0.00010631860852143861
PastClaims,0.00010120711571123932
Province_Somali,6.978865993403564e-05
Deductible,6.418370624021395e-05
ZipCode,3.704265544621751e-05
TransactionDate_2024-10-13,3.703769294687938e-05
VehicleModel_E-Class,3.442176871467131e-05
NCD,3.2894329022319576e-05
Age,3.078891725932191e-05
CustomerID_AC-104965,2.7920738474754292e-05
AutoMake_Lifan,2.1711293676612325e-05
AutoMake_Toyota,2.1177516778404114e-05
Province_Amhara,1.9376880004409765e-05
Province_Oromia,1.5335017289163002e-05
VehicleModel_Land Cruiser,1.236720813922532e-05
VehicleType_Sedan,1.1174771605723214e-05
VehicleType_Luxury,8.492030767129361e-06
Gender_Male,6.126283397014121e-06
TransactionDate_2024-08-05,5.32363643776622e-06
CoverType_Third Party Fire & Theft,5.238082122204068e-06
VehicleModel_Tucson,4.100976677402164e-06
TransactionDate_2024-06-10,3.99355211790362e-06
TransactionDate_2024-11-14,3.7877960145274594e-06
Province_Tigray,3.729518577417022e-06
CustomerID_AC-105438,3.1172650704878435e-06
VehicleType_SUV,2.9462803785194254e-06
CustomerID_AC-104709,2.859300564149713e-06
VehicleModel_RAV4,2.7324681506196054e-06
AutoMake_Mercedes-Benz,2.5275868985646888e-06
TransactionDate_2024-12-10,2.1434377872667646e-06
TransactionDate_2024-11-04,1.992265310147513e-06
TransactionDate_2025-06-12,1.7393615564200452e-06
TransactionDate_2025-03-27,1.6804958026503534e-06
CustomerID_AC-105920,1.5283674889632853e-06
TransactionDate_2024-01-26,1.4945002138777414e-06
CustomerID_AC-108222,1.4502229583861146e-06
CoverType_Third Party Only,1.4476478905163727e-06
AutoMake_Hyundai,1.4114258116137826e-06
TransactionDate_2024-12-22,1.3986807593674588e-06
TransactionDate_2025-06-07,1.1693531733763764e-06
TransactionDate_2025-02-08,1.0077264078330341e-06
CustomerID_AC-108388,9.287047720614353e-07
TransactionDate_2024-11-10,8.228157262142549e-07
VehicleModel_620,7.224224786602421e-07
CustomerID_AC-104573,7.158396263438547e-07
CustomerID_AC-108162,6.524904461931703e-07
AutoMake_Suzuki,6.414689585208773e-07
TransactionDate_2024-06-17,6.363544155272909e-07
TransactionDate_2024-05-26,6.136194514160793e-07
CustomerID_AC-109640,5.10762656280169e-07
CustomerID_AC-107156,4.7403653940528866e-07
TransactionDate_2025-06-28,4.6992936515499464e-07
